node_u,node_v,jsd,zone_similarity,same_primary,completely_diff
High Tech Park,Linh Trung,0.026206723397432234,0.5773502691896258,0,0
High Tech Park,Pham Van Dong,0.007225046462785308,0.0,0,1
High Tech Park,Saigon Bridge,0.018008148470443297,0.0,0,1
High Tech Park,Suoi Tien,0.02595813482638833,0.0,0,1
High Tech Park,Tan Son Nhat Airport,0.025129824207141,0.0,0,1
High Tech Park,Thu Duc,0.006538348281930435,0.0,0,1
High Tech Park,Thu Thiem Tunnel,0.01750674105052838,0.0,0,1
High Tech Park,VNU HCM,0.007028405121795664,0.0,0,1
Landmark 81,Linh Trung,0.032051387910550316,0.40824829046386296,0,0
Landmark 81,Pham Van Dong,0.011207317543762755,0.7071067811865475,1,0
Landmark 81,Saigon Bridge,0.0011074366940864188,0.4999999999999999,0,0
Landmark 81,Suoi Tien,0.0029155243350076606,0.40824829046386296,0,0
Landmark 81,Tan Son Nhat Airport,0.0033033420410303184,0.4999999999999999,0,0
Landmark 81,Thu Duc,0.010892983121487117,0.6324555320336759,0,0
Landmark 81,Thu Thiem Tunnel,0.000765259601751429,0.8164965809277259,1,0
Landmark 81,VNU HCM,0.013103020752608704,0.35355339059327373,0,0
Linh Trung,Pham Van Dong,0.03221690770256467,0.2886751345948129,0,0
Linh Trung,Saigon Bridge,0.032491820868913515,0.40824829046386296,0,0
Linh Trung,Suoi Tien,0.037073569513055966,0.0,0,1
Linh Trung,Tan Son Nhat Airport,0.03732139449694055,0.0,0,1
Linh Trung,Thu Duc,0.0313127242302339,0.5163977794943222,0,0
Linh Trung,Thu Thiem Tunnel,0.03191595385566752,0.33333333333333337,0,0
Linh Trung,VNU HCM,0.03299452414026005,0.5773502691896258,0,0
Pham Van Dong,Saigon Bridge,0.01187674446729759,0.7071067811865475,1,0
Pham Van Dong,Suoi Tien,0.019580139212761014,0.5773502691896258,0,0
Pham Van Dong,Tan Son Nhat Airport,0.018671675720514987,0.7071067811865475,1,0
Pham Van Dong,Thu Duc,0.000554135412758324,0.8944271909999159,1,0
Pham Van Dong,Thu Thiem Tunnel,0.01052117723219825,0.8660254037844387,1,0
Pham Van Dong,VNU HCM,0.0011149060867970176,0.5,0,0
Saigon Bridge,Suoi Tien,0.003185339392783668,0.40824829046386296,0,0
Saigon Bridge,Tan Son Nhat Airport,0.003175476879854592,0.4999999999999999,0,0
Saigon Bridge,Thu Duc,0.011631498947859763,0.6324555320336759,0,0
Saigon Bridge,Thu Thiem Tunnel,0.0010412375914289557,0.8164965809277259,1,0
Saigon Bridge,VNU HCM,0.013196546520409736,0.35355339059327373,0,0
Suoi Tien,Tan Son Nhat Airport,0.0005581633324425116,0.8164965809277259,1,0
Suoi Tien,Thu Duc,0.01969471275388338,0.5163977794943222,0,0
Suoi Tien,Thu Thiem Tunnel,0.0032049711518333844,0.6666666666666667,0,0
Suoi Tien,VNU HCM,0.02199947881109003,0.2886751345948129,0,0
Tan Son Nhat Airport,Thu Duc,0.018796411237739466,0.6324555320336759,0,0
Tan Son Nhat Airport,Thu Thiem Tunnel,0.0032525098949861696,0.8164965809277259,1,0
Tan Son Nhat Airport,VNU HCM,0.021366916872876524,0.0,0,1
Thu Duc,Thu Thiem Tunnel,0.010382026089707076,0.7745966692414834,1,0
Thu Duc,VNU HCM,0.001101109683002378,0.6708203932499369,0,0
Thu Thiem Tunnel,VNU HCM,0.012283020227101423,0.2886751345948129,0,0
